City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,Bambous Virieux,-20.3428,57.7575,77.25,73,40,13.8,MU,2021-11-17 17:28:31
230,Daru,-9.0763,143.2092,79.72,85,96,5.5,PG,2021-11-17 17:29:31
231,Broken Hill,-31.95,141.4333,65.91,22,21,12.66,AU,2021-11-17 17:29:31
232,Narsaq,60.9167,-46.05,39.42,81,100,5.66,GL,2021-11-17 17:29:31
233,Sonkovo,57.7782,37.1571,31.95,91,100,5.55,RU,2021-11-17 17:29:32
234,Agde,43.3108,3.4758,51.94,65,0,9.22,FR,2021-11-17 17:29:32
235,Bilma,18.6853,12.9164,83.73,15,5,6.71,NE,2021-11-17 17:29:32
236,Teeli,51.0333,90.2333,17.35,80,96,1.34,RU,2021-11-17 17:29:33
237,Provideniya,64.3833,-173.3,9.39,88,40,11.52,RU,2021-11-17 17:29:33
238,Torbay,47.6666,-52.7314,41.29,79,40,21.85,CA,2021-11-17 17:29:33
239,Warrnambool,-38.3833,142.4833,55.18,52,94,9.75,AU,2021-11-17 17:29:33
240,Ahipara,-35.1667,173.1667,55.18,78,33,6.69,NZ,2021-11-17 17:29:34
241,Chumikan,54.7183,135.315,8.71,90,6,12.41,RU,2021-11-17 17:29:34
242,Mount Isa,-20.7333,139.5,73.17,21,3,11.5,AU,2021-11-17 17:29:34
243,Salym,60.0625,71.4789,2.01,94,95,7.25,RU,2021-11-17 17:29:35
244,Belaya Gora,68.5333,146.4167,-2.81,99,100,4.23,RU,2021-11-17 17:29:35
245,Pisco,-13.7,-76.2167,69.03,73,0,10.36,PE,2021-11-17 17:29:35
246,Aklavik,68.2191,-135.0107,6.8,78,90,10.36,CA,2021-11-17 17:29:35
247,Misratah,32.3754,15.0925,69.44,61,1,10.49,LY,2021-11-17 17:29:36
248,Merrill,45.1805,-89.6835,44.37,61,72,5.99,US,2021-11-17 17:25:37
249,Aginskoye,51.1,114.53,19.09,65,38,21.92,RU,2021-11-17 17:29:36
250,Lavrentiya,65.5833,-171.0,5.22,91,36,10.33,RU,2021-11-17 17:29:36
251,Saint George,37.1041,-113.5841,58.42,35,1,5.01,US,2021-11-17 17:29:37
252,Rimini,44.0241,12.5186,53.44,92,75,1.99,IT,2021-11-17 17:29:37
253,Ust-Ishim,57.6935,71.1665,8.85,88,98,9.66,RU,2021-11-17 17:29:37
254,Bria,6.5423,21.9863,79.07,52,56,1.81,CF,2021-11-17 17:29:37
255,Sur,22.5667,59.5289,75.67,52,0,3.89,OM,2021-11-17 17:29:38
256,Berlevag,70.8578,29.0864,35.6,86,40,11.5,NO,2021-11-17 17:29:38
257,Maridi,4.9158,29.4742,73.2,68,95,2.68,SS,2021-11-17 17:29:38
258,Bone,51.9669,12.1396,46.29,88,100,8.97,DE,2021-11-17 17:29:39
259,Catemaco,18.4167,-95.1167,74.95,75,10,1.48,MX,2021-11-17 17:29:39
260,Qena,26.1615,32.7183,80.49,27,78,6.87,EG,2021-11-17 17:29:39
261,Oksfjord,70.2396,22.3479,41.18,98,100,6.35,NO,2021-11-17 17:29:40
262,Quatre Cocos,-20.2078,57.7625,77.11,71,4,12.86,MU,2021-11-17 17:29:40
263,Vostok,46.4856,135.8833,19.54,87,82,4.9,RU,2021-11-17 17:29:41
264,Avera,33.194,-82.5271,73.27,35,0,6.91,US,2021-11-17 17:29:41
265,Lompoc,34.6391,-120.4579,62.13,78,90,6.91,US,2021-11-17 17:29:41
266,Fukue,32.6881,128.8419,60.62,52,100,9.82,JP,2021-11-17 17:29:41
267,Leningradskiy,69.3833,178.4167,-3.32,90,8,9.46,RU,2021-11-17 17:29:42
268,Jumla,29.2747,82.1838,46.99,30,84,5.08,NP,2021-11-17 17:29:42
269,Makakilo City,21.3469,-158.0858,73.62,86,1,3.44,US,2021-11-17 17:29:43
270,Kloulklubed,7.0419,134.2556,79.3,79,89,4.85,PW,2021-11-17 17:29:43
271,Kaitangata,-46.2817,169.8464,49.93,80,64,5.99,NZ,2021-11-17 17:29:43
272,Airai,-8.9266,125.4092,61.27,80,100,1.99,TL,2021-11-17 17:29:43
273,Prince Rupert,54.3161,-130.3201,47.89,88,90,17.27,CA,2021-11-17 17:29:44
274,Port Lincoln,-34.7333,135.8667,71.98,43,60,17.34,AU,2021-11-17 17:29:44
275,Sorland,67.667,12.6934,44.67,76,88,31.88,NO,2021-11-17 17:30:45
276,Vokhtoga,58.8147,41.0461,32.59,98,100,4.99,RU,2021-11-17 17:30:45
277,Ancud,-41.8697,-73.8203,60.33,81,100,5.93,CL,2021-11-17 17:30:45
278,Trat,12.5,102.5,75.88,90,81,5.5,TH,2021-11-17 17:30:45
279,Asosa,10.0667,34.5333,67.55,49,39,5.14,ET,2021-11-17 17:30:46
280,North Myrtle Beach,33.816,-78.68,76.33,60,1,4.0,US,2021-11-17 17:30:46
281,Liepaja,56.5419,21.0367,44.65,81,90,5.75,LV,2021-11-17 17:30:46
282,Olenegorsk,68.15,33.3,31.78,97,100,5.17,RU,2021-11-17 17:30:46
283,Cayenne,4.9333,-52.3333,87.84,78,75,4.0,GF,2021-11-17 17:28:59
284,Abapo,-18.8333,-63.4667,62.04,84,100,2.44,BO,2021-11-17 17:30:47
285,Rawson,-43.3002,-65.1023,75.45,27,22,13.24,AR,2021-11-17 17:30:47
286,Biak,-0.9131,122.8766,75.7,83,100,4.68,ID,2021-11-17 17:30:47
287,Oktyabrskoye,43.0645,44.7417,24.94,93,4,2.24,RU,2021-11-17 17:30:48
288,Tura,25.5198,90.2201,61.83,85,8,4.14,IN,2021-11-17 17:30:48
289,Lasa,46.6166,10.7002,49.46,95,98,3.22,IT,2021-11-17 17:30:48
290,Sobolevo,54.4299,31.8996,27.18,67,66,7.87,RU,2021-11-17 17:30:49
291,Presidente Medici,-11.1753,-61.9014,72.95,97,100,1.21,BR,2021-11-17 17:30:49
292,Lebu,-37.6167,-73.65,59.09,70,25,20.67,CL,2021-11-17 17:30:49
293,Kismayo,-0.3582,42.5454,79.83,82,98,11.7,SO,2021-11-17 17:30:50
